Category,SL.No.,CITY 1,CITY 2,"PASSENGERS
 TO CITY 2","PASSENGERS
 FROM CITY 2","FREIGHT
 TO CITY 2","FREIGHT
 FROM CITY 2"
Indian Territory,1,ABUDHABI,AHMEDABAD,21878,22541,7.2,200
Indian Territory,2,ABUDHABI,BENGALURU,41843,35911,144,502.2
Indian Territory,3,ABUDHABI,CHENNAI,38005,34052,22.4,365.2
Indian Territory,4,ABUDHABI,DELHI,84376,91229,1765.9,3171.2
Indian Territory,5,ABUDHABI,GOA,0,0,0,0
Indian Territory,6,ABUDHABI,HYDERABAD,48359,44884,161.2,539.2
Indian Territory,7,ABUDHABI,JAIPUR,4333,5667,21.1,46.5
Indian Territory,8,ABUDHABI,KOCHI,76881,65760,32.8,693.3
Indian Territory,9,ABUDHABI,KOLKATA,9927,10415,6.9,183.6
Indian Territory,10,ABUDHABI,KOZHIKODE,64751,50801,57.1,439.8
Indian Territory,11,ABUDHABI,LUCKNOW,13221,10101,0.5,146.2
Indian Territory,12,ABUDHABI,MANGALORE,22026,18575,3.8,102.5
Indian Territory,13,ABUDHABI,MUMBAI,103325,108476,1512,3264.7
Indian Territory,14,ABUDHABI,PUNE,11354,11439,0,0
Indian Territory,15,ABUDHABI,TRIVANDRUM,38352,35070,5.6,235.3
Indian Territory,16,ADDIS ABABA,DELHI,14331,19711,29.9,276.2
Indian Territory,17,ADDIS ABABA,MUMBAI,32274,37718,602.1,3140.4
Indian Territory,18,ADEN,MUMBAI,1713,1696,0,9.4
Indian Territory,19,AL AIN,KOZHIKODE,4182,4284,0,0
Indian Territory,20,AL AIN,TRIVANDRUM,0,0,0,0
Indian Territory,21,ALMATY,DELHI,9721,8845,7.5,170.8
Indian Territory,22,ALMATY,GOA,0,0,0,0
Indian Territory,23,AMSTERDAM,DELHI,36805,40731,2378.5,2809.4
Indian Territory,24,AMSTERDAM,MUMBAI,24567,28794,1731.7,1679.4
Indian Territory,25,ANTALYA,DELHI,0,0,0,0
Indian Territory,26,ANTALYA,MUMBAI,0,0,0,0
Indian Territory,27,ASHGABAT,AMRITSAR,2655,6368,0,11.8
Indian Territory,28,ASHGABAT,CHENNAI,0,0,0.1,0
Indian Territory,29,ASHGABAT,DELHI,4089,4189,1.8,90.8
Indian Territory,30,BAHRAIN,BENGALURU,0,0,1.9,0
Indian Territory,31,BAHRAIN,CHENNAI,18751,15498,20.7,342
Indian Territory,32,BAHRAIN,DELHI,32672,28256,149.1,437.5
Indian Territory,33,BAHRAIN,HYDERABAD,16518,12928,4.4,140.7
Indian Territory,34,BAHRAIN,KOCHI,18574,16150,15.4,284.2
Indian Territory,35,BAHRAIN,KOZHIKODE,9687,10475,0.1,83.4
Indian Territory,36,BAHRAIN,MANGALORE,2114,2193,0,0.1
Indian Territory,37,BAHRAIN,MUMBAI,34998,33053,49,963.8
Indian Territory,38,BAHRAIN,TRIVANDRUM,14092,11604,22.2,201.8
Indian Territory,39,BANGKOK,AHMEDABAD,0,0,0,0
Indian Territory,40,BANGKOK,BENGALURU,23438,24505,974.5,1224
Indian Territory,41,BANGKOK,CHENNAI,21477,22644,1000.4,1249.7
Indian Territory,42,BANGKOK,DELHI,119575,128193,3259.4,830.4
Indian Territory,43,BANGKOK,GAYA,0,0,0,0
Indian Territory,44,BANGKOK,HYDERABAD,17804,19108,648.3,452.9
Indian Territory,45,BANGKOK,JAIPUR,6035,6286,0,0
Indian Territory,46,BANGKOK,KOLKATA,69886,66882,838.2,946.8
Indian Territory,47,BANGKOK,LUCKNOW,3958,4024,0,0
Indian Territory,48,BANGKOK,MUMBAI,111830,111943,3603.5,1923.9
Indian Territory,49,BANGKOK,VARANASI,0,0,0,0
